rural_rbd,ïagno,dgv_rbd,nom_rbd,mrun,rut_sostenedor,p_juridica,cod_reg_rbd,cod_pro_rbd,cod_com_rbd,nom_com_rbd,cod_deprov_rbd,nom_deprov_rbd,cod_depe,cod_depe2,latitud,longitud,convenio_pie,ens_01,ens_02,ens_03,ens_04,ens_05,ens_06,ens_07,ens_08,ens_09,matricula,estado_estab,ori_religiosa,ori_otro_glosa,pago_matricula,pago_mensual,2016,2017,2018,2019,2020
0,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,576,577,588,598
1,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,402,402,404,403
