,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL,check
402,2020,516,9,LICEO GABRIELA MISTRAL DE LA SERENA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.903280000000000,-71.24479700000001,1,110,310,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
403,2020,517,7,LICEO GREGORIO CORDOVEZ, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.902950000000000,-71.24336200000000,1,110,310,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
404,2020,518,5,LICEO TECNICO MARTA BRUNET, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.906330000000000,-71.25396700000000,1,410,610,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
405,2020,519,3,COLEGIO ARTURO PRAT CHACON, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.879210000000000,-71.24069200000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
406,2020,520,7,COLEGIO JOSE GASPAR MARIN ESQUIVEL, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.91459711,-71.22313586,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION,True
407,2020,521,5,COLEGIO VICTOR DOMINGO SILVA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.931801000000000,-71.25289200000000,1,10,110,310,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
408,2020,522,3,COLEGIO JAVIERA CARRERA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.906090000000000,-71.25515000000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
409,2020,523,1,ESCUELA ALONSO DE ERCILLA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.875530000000000,-71.24738300000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
410,2020,525,8,COLEGIO JAPON, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.906660000000000,-71.24627700000001,1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
411,2020,526,6,COLEGIO JOSE MANUEL BALMACEDA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.919991000000000,-71.25171700000000,1,10,110,310,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
412,2020,527,4,COLEGIO HEROES DE LA CONCEPCION, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.907560000000000,-71.25470000000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
413,2020,528,2,ESCUELA GERMAN RIESCO, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.906410000000000,-71.24469000000001,1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
414,2020,529,0,COLEGIO MANUEL RODRIGUEZ, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.913702010000000,-71.24486542000000,0,212,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
415,2020,530,4,COLEGIO GABRIEL GONZALEZ VIDELA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.897860000000000,-71.25341000000000,1,10,110,310,410,610,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
416,2020,531,2,COLEGIO PEDRO AGUIRRE CERDA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.912460330000000,-71.22067260999999,1,10,110,310,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
417,2020,532,0,CEN.ED.INT.DE ADUL.ESTER VILLARREAL CASTILLO, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.909027100000000,-71.24658966000000,1,165,363,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
418,2020,533,9,COLEGIO DARIO SALAS, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.873360000000000,-71.24278300000000,1,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,True
419,2020,534,7,COLEGIO VILLA SAN BARTOLOME, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.886999000000000,-71.23638200000001,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,True
420,2020,535,5,COLEGIO JOSE MIGUEL CARRERA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.942751000000000,-71.26345100000000,1,10,110,310,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
