rbd;COD_DEPE;NOM_RBD;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;cod_sede;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;EXC_OFERTA;POSTULACIONES;;vacantes_pie;vacantes_prioritarios;vacantes_alta_exigencia_t;vacantes_alta_exigencia_r;vacantes_regular;software_aleatorio;habilitado_distancia
11139;6;LICEO FERNANDO BINVIGNAT MARIN;11;3,71072E+11;710;3;3;72007;1;0;0;0;-29,96387;-71,25429;40;30;75%;4;13%;2;0;0;0;28;1;1
540;1;ESCUELA DE ISLON;8;8,11E+11;110;8;3;0;1;0;0;0;-29,89787;-71,18532;23;17;74%;0;0%;0;0;0;0;17;1;1
536;1;COLEGIO BERNARDA MORIN;8;8,11E+11;110;8;3;0;1;0;0;0;-29,91077;-71,22921;30;22;73%;1;5%;0;1;0;0;21;1;1
13463;1;COLEGIO CARLOS CONDELL DE LA HAZA;-1;4,01E+11;10;4;3;0;1;0;0;0;-29,87045;-71,23944;40;34;85%;6;18%;4;2;0;0;28;1;1
542;1;ESCUELA DE LAMBERT;2;2,11E+11;110;2;3;0;1;0;0;0;-29,84302;-71,11961;30;22;73%;0;0%;1;0;0;0;21;1;1
578;1;LICEO IGNACIO CARRERA PINTO;12;4,41041E+11;410;4;3;41005;1;0;0;0;-29,9019;-71,24624;36;26;72%;2;8%;0;0;0;0;26;1;1
31221;3;COLEGIO RUKALAF;1;1,11E+11;110;1;3;0;1;0;0;0;-29,86821;-71,24308;68;49;72%;16;33%;0;0;0;0;49;1;1
13557;6;ESCUELA BASICA REPUBLICA DE ITALIA;-1;4,01E+11;10;4;3;0;1;0;0;0;-29,95595;-71,24724;25;20;80%;7;35%;0;2;0;0;18;1;1
13330;3;COLEGIO PARTICULAR PIERROT;1;1,11E+11;110;1;2;0;1;0;0;0;-29,90655;-71,25227;25;18;72%;28;156%;2;3;0;0;13;1;0
13626;3;COLEGIO SAN LUIS;-1;4,01E+11;10;4;3;0;1;0;0;0;-29,96158;-71,34296;25;18;72%;2;11%;0;4;0;0;14;1;1
31194;3;COLEGIO MONTEVERDI;-1;4,01E+11;10;4;2;0;1;0;0;0;-29,930621;-71,2580653;21;20;95%;27;135%;0;4;0;0;16;1;1
611;6;LICEO DIEGO PORTALES;12;4,31E+11;310;4;3;0;1;0;0;0;-29,95274;-71,3366;60;43;72%;1;2%;2;3;0;0;38;1;1
13461;6;LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ;12;4,81081E+11;810;4;3;81003;1;0;0;0;-30,26264;-71,493048;35;25;71%;0;0%;2;0;0;0;23;1;1
11155;1;LICEO JORGE ALESSANDRI RODRIGUEZ;11;3,51054E+11;510;3;3;54020;1;0;0;0;-29,88699;-71,23167;38;27;71%;4;15%;0;3;0;0;24;1;1
613;6;COLEGIO DE ARTES CLAUDIO ARRAU;0;5,01E+11;10;5;1;0;1;0;0;0;-29,96127;-71,33829;20;14;70%;17;121%;2;1;0;0;11;1;1
40298;3;COLEGIO BERNARDO O´HIGGINS;-1;4,01E+11;10;4;2;0;1;0;0;0;-29,9272;-71,25833;36;31;86%;39;126%;0;4;0;0;27;1;1
13559;6;ESCUELA REPUBLICA DE GRECIA;1;1,11E+11;110;1;3;0;1;0;0;0;-29,98612;-71,33231;80;56;70%;17;30%;1;0;0;0;55;1;1
